"filename", "language", "C", "C++", "Shell Script", "Makefile", "Perl", "YAML", "Markdown", "comment", "blank", "total"
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_int_set_win_event_mask.c", "C", -18, 0, 0, 0, 0, 0, 0, -9, -8, -35
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_int_str_to_wordtab.c", "C", -92, 0, 0, 0, 0, 0, 0, -9, -13, -114
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_int_wait_first_expose.c", "C", -7, 0, 0, 0, 0, 0, 0, -9, -8, -24
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_key_hook.c", "C", -7, 0, 0, 0, 0, 0, 0, -9, -7, -23
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_lib_xpm.c", "C", -73, 0, 0, 0, 0, 0, 0, -9, -15, -97
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_loop.c", "C", -45, 0, 0, 0, 0, 0, 0, -9, -10, -64
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_loop_hook.c", "C", -6, 0, 0, 0, 0, 0, 0, -9, -7, -22
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_mouse.c", "C", -34, 0, 0, 0, 0, 0, 0, -7, -8, -49
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_mouse_hook.c", "C", -7, 0, 0, 0, 0, 0, 0, -9, -7, -23
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_new_image.c", "C", -122, 0, 0, 0, 0, 0, 0, -15, -23, -160
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_new_window.c", "C", -31, 0, 0, 0, 0, 0, 0, -25, -7, -63
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_pixel_put.c", "C", -11, 0, 0, 0, 0, 0, 0, -9, -7, -27
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_put_image_to_window.c", "C", -22, 0, 0, 0, 0, 0, 0, -9, -7, -38
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_rgb.c", "C", -758, 0, 0, 0, 0, 0, 0, -4, -3, -765
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_screen_size.c", "C", -11, 0, 0, 0, 0, 0, 0, 0, -3, -14
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_set_font.c", "C", -9, 0, 0, 0, 0, 0, 0, -17, -5, -31
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_string_put.c", "C", -11, 0, 0, 0, 0, 0, 0, -9, -7, -27
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/mlx_xpm.c", "C", -255, 0, 0, 0, 0, 0, 0, -47, -44, -346
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/rgb2c.pl", "Perl", 0, 0, 0, 0, -18, 0, 0, -13, -8, -39
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/test/Makefile.mk", "Makefile", 0, 0, 0, -30, 0, 0, 0, -3, -13, -46
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/test/main.c", "C", -245, 0, 0, 0, 0, 0, 0, 0, -43, -288
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/test/new_win.c", "C", -21, 0, 0, 0, 0, 0, 0, 0, -11, -32
"/home/lilefebv/Documents/cursus/FdF/42-FdF/minilibx/test/run_tests.sh", "Shell Script", 0, 0, -72, 0, 0, 0, 0, -8, -15, -95
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/camera/calcs.c", "C", -38, 0, 0, 0, 0, 0, 0, -11, -7, -56
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/camera/key_movements.c", "C", -42, 0, 0, 0, 0, 0, 0, -11, -5, -58
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/camera/movements.c", "C", -74, 0, 0, 0, 0, 0, 0, -11, -9, -94
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/console.c", "C", -65, 0, 0, 0, 0, 0, 0, -11, -6, -82
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/font.c", "C", -64, 0, 0, 0, 0, 0, 0, -11, -8, -83
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/inits.c", "C", -91, 0, 0, 0, 0, 0, 0, -11, -8, -110
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/map_line.c", "C", -75, 0, 0, 0, 0, 0, 0, -11, -8, -94
"/home/lilefebv/Documents/cursus/FdF/42-FdF/srcs/env/parsing.c", "C", -63, 0, 0, 0, 0, 0, 0, -11, -8, -82
